"Downloaded on",02/17/2020,"12:01:54 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%2296%22%2C%2295%22%2C%2294%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 2189",https://www.congress.gov/bill/96th-congress/senate-bill/2189,"96th Congress (1979-1980)",,"An act to set forth a Federal policy for the disposal of low-level radioactive wastes, and for other purposes.","Sen. Johnston, J. Bennett [D-LA]",01/03/1980,,,,4,"Senate - Energy and Natural Resources",12/22/1980,"Public Law 96-573."
"S. 2185",https://www.congress.gov/bill/96th-congress/senate-bill/2185,"96th Congress (1979-1980)",,"An act to authorize the acceptance and use of bequests and gifts for disaster relief.","Sen. Danforth, John C. [R-MO]",12/20/1979,,,,0,"House - Public Works and Transportation | Senate - Governmental Affairs",10/13/1980,"Public Law 96-446."
"S. 2163",https://www.congress.gov/bill/96th-congress/senate-bill/2163,"96th Congress (1979-1980)",,"An act to provide for the conservation and enhancement of the salmon and steelhead resources of the United States, assistance to treaty and nontreaty harvesters of those resources, and for other purposes.","Sen. Cannon, Howard W. [D-NV]",12/20/1979,,,,0,"House - Merchant Marine and Fisheries | Senate - Commerce, Science, and Transportation, Environment and Public Works",12/22/1980,"Public Law 96-561."
"S. 2145",https://www.congress.gov/bill/96th-congress/senate-bill/2145,"96th Congress (1979-1980)",,"A bill to authorize the burial of Elizabeth Myers McNeil in the Veals Chapels Cemetery, Fort Jackson, South Carolina.","Sen. Thurmond, Strom [R-SC]",12/17/1979,,,,0,,12/20/1979,"Private Law 96-25."
"S. 2134",https://www.congress.gov/bill/96th-congress/senate-bill/2134,"96th Congress (1979-1980)",,"A bill to provide for the acquisition of certain property in Square 758 in the District of Columbia as an addition to the grounds of the United States Supreme Court Building.","Sen. Randolph, Jennings [D-WV]",12/14/1979,,,,0,"House - Public Works and Transportation | Senate - Environment and Public Works",12/15/1980,"Public Law 96-532."
"S. 2126",https://www.congress.gov/bill/96th-congress/senate-bill/2126,"96th Congress (1979-1980)",,"A bill relating to certain leases involving the Secretary of the Interior and the Northern Cheyenne Indian Reservation.","Sen. Melcher, John [D-MT]",12/12/1979,,,,0,"House - Interior and Insular Affairs | Senate - Indian Affairs",10/09/1980,"Public Law 96-401."
"S. 2069",https://www.congress.gov/bill/96th-congress/senate-bill/2069,"96th Congress (1979-1980)",,"An original bill to authorize the Architect of the Capitol to contract for personal services with individuals, firms, partnerships, corporations, associations, and other legal entities.","Sen. Pell, Claiborne [D-RI]",11/30/1979,,,,0,"House - Public Works and Transportation | Senate - Rules and Administration",12/19/1980,"Public Law 96-558."
"S. 2055",https://www.congress.gov/bill/96th-congress/senate-bill/2055,"96th Congress (1979-1980)",,"A bill to establish a reservation for the Confederated Tribes of Siletz Indians of Oregon.","Sen. Hatfield, Mark O. [R-OR]",11/28/1979,,,,0,"House - Interior and Insular Affairs | Senate - Indian Affairs",09/04/1980,"Public Law 96-340."
"S. 2043",https://www.congress.gov/bill/96th-congress/senate-bill/2043,"96th Congress (1979-1980)",,"An act to provide for research and coordination of research in the diagnosis, prevention, and control of malignant tumors in domestic animals, poultry, and wildlife.","Sen. Melcher, John [D-MT]",11/26/1979,,,,10,"House - Agriculture | Senate - Agriculture, Nutrition, and Forestry",10/17/1980,"Public Law 96-469."
"S. 2027",https://www.congress.gov/bill/96th-congress/senate-bill/2027,"96th Congress (1979-1980)",,"A bill for the relief of James Daniel Bronson.","Sen. Hayakawa, Samuel Ichiye [R-CA]",11/19/1979,,,,0,"House - Judiciary | Senate - Judiciary",12/22/1980,"Private Law 96-123."
