"Downloaded on",02/17/2020,"11:59:34 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%22108%22%2C%22107%22%2C%22106%22%2C%22105%22%2C%22104%22%2C%22103%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 1895",https://www.congress.gov/bill/108th-congress/senate-bill/1895,"108th Congress (2003-2004)",,"A bill to temporarily extend the programs under the Small Business Act and the Small Business Investment Act of 1958 through March 15, 2004, and for other purposes.","Sen. Snowe, Olympia J. [R-ME]",11/19/2003,,,,1,,12/06/2003,"Became Public Law No: 108-172."
"S. 1881",https://www.congress.gov/bill/108th-congress/senate-bill/1881,"108th Congress (2003-2004)",,"Medical Devices Technical Corrections Act","Sen. Alexander, Lamar [R-TN]",11/18/2003,,,,3,"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions",04/01/2004,"Became Public Law No: 108-214."
"S. 1848",https://www.congress.gov/bill/108th-congress/senate-bill/1848,"108th Congress (2003-2004)",,"A bill to amend the Bend Pine Nursery Land Conveyance Act to direct the Secretary of Agriculture to sell the, Bend Pine Nursery Administration Site in the State of Oregon.","Sen. Wyden, Ron [D-OR]",11/11/2003,,,,1,"Senate - Energy and Natural Resources",07/02/2004,"Became Public Law No: 108-269."
"S. 1824",https://www.congress.gov/bill/108th-congress/senate-bill/1824,"108th Congress (2003-2004)",,"Overseas Private Investment Corporation Amendments Act of 2003","Sen. Lugar, Richard G. [R-IN]",11/05/2003,,,,3,"Senate - Foreign Relations",12/03/2003,"Became Public Law No: 108-158."
"S. 1814",https://www.congress.gov/bill/108th-congress/senate-bill/1814,"108th Congress (2003-2004)",,"A bill to transfer federal lands between the Secretary of Agriculture and the Secretary of the Interior.","Sen. Bond, Christopher S. [R-MO]",11/03/2003,,,,0,"House - Resources, Agriculture, Education and the Workforce | Senate - Environment and Public Works",10/18/2004,"Became Public Law No: 108-341."
"S. 1791",https://www.congress.gov/bill/108th-congress/senate-bill/1791,"108th Congress (2003-2004)",,"A bill to amend the Lease Lot Conveyance Act of 2002 to provide that the amounts received by the United States under that Act shall be deposited in the reclamation fund, and for other purposes.","Sen. Domenici, Pete V. [R-NM]",10/28/2003,,,,1,"House - Resources | Senate - Energy and Natural Resources",10/21/2004,"Became Public Law No: 108-351."
"S. 1778",https://www.congress.gov/bill/108th-congress/senate-bill/1778,"108th Congress (2003-2004)",,"Craig Recreation Land Purchase Act","Sen. Murkowski, Lisa [R-AK]",10/23/2003,,,,1,"Senate - Energy and Natural Resources",10/13/2004,"Became Public Law No: 108-325."
"S. 1768",https://www.congress.gov/bill/108th-congress/senate-bill/1768,"108th Congress (2003-2004)",,"National Flood Insurance Program Reauthorization Act of 2004","Sen. Bunning, Jim [R-KY]",10/21/2003,,,,1,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs",12/06/2003,"Became Public Law No: 108-171."
"S. 1727",https://www.congress.gov/bill/108th-congress/senate-bill/1727,"108th Congress (2003-2004)",,"A bill to authorize additional appropriations for the Reclamation Safety of Dams Act of 1978.","Sen. Domenici, Pete V. [R-NM]",10/14/2003,,,,0,"Senate - Energy and Natural Resources",12/03/2004,"Became Public Law No: 108-439."
"S. 1721",https://www.congress.gov/bill/108th-congress/senate-bill/1721,"108th Congress (2003-2004)",,"American Indian Probate Reform Act of 2004","Sen. Campbell, Ben Nighthorse [R-CO]",10/14/2003,,,,2,"House - Resources | Senate - Indian Affairs",10/27/2004,"Became Public Law No: 108-374."
"S. 1720",https://www.congress.gov/bill/108th-congress/senate-bill/1720,"108th Congress (2003-2004)",,"A bill to provide for Federal court proceedings in Plano, Texas.","Sen. Cornyn, John [R-TX]",10/14/2003,,,,1,"House - Judiciary | Senate - Judiciary",12/03/2003,"Became Public Law No: 108-157."
"S. 1718",https://www.congress.gov/bill/108th-congress/senate-bill/1718,"108th Congress (2003-2004)",,"A bill to designate the facility of the United States Postal Service located at 3710 West 73rd Terrace in Prairie Village, Kansas, as the ""Senator James B. Pearson Post Office"".","Sen. Roberts, Pat [R-KS]",10/14/2003,,,,1,"House - Government Reform | Senate - Governmental Affairs",12/02/2003,"Became Public Law No: 108-144."
"S. 1687",https://www.congress.gov/bill/108th-congress/senate-bill/1687,"108th Congress (2003-2004)",,"Manhattan Project National Historical Park Study Act","Sen. Bingaman, Jeff [D-NM]",09/30/2003,,,,4,"Senate - Energy and Natural Resources",10/18/2004,"Became Public Law No: 108-340."
"S. 1685",https://www.congress.gov/bill/108th-congress/senate-bill/1685,"108th Congress (2003-2004)",,"Basic Pilot Program Extension and Expansion Act of 2003","Sen. Grassley, Chuck [R-IA]",09/30/2003,,,,3,"Senate - Judiciary",12/03/2003,"Became Public Law No: 108-156."
"S. 1683",https://www.congress.gov/bill/108th-congress/senate-bill/1683,"108th Congress (2003-2004)",,"Federal Law Enforcement Pay and Benefits Parity Act of 2003","Sen. Voinovich, George V. [R-OH]",09/30/2003,,,,1,"House - Government Reform | Senate - Governmental Affairs",12/19/2003,"Became Public Law No: 108-196."
"S. 1680",https://www.congress.gov/bill/108th-congress/senate-bill/1680,"108th Congress (2003-2004)",,"Defense Production Act Reauthorization of 2003","Sen. Shelby, Richard C. [R-AL]",09/30/2003,,,,0,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs",12/19/2003,"Became Public Law No: 108-195."
"S. 1663",https://www.congress.gov/bill/108th-congress/senate-bill/1663,"108th Congress (2003-2004)",,"A bill to replace certain Coastal Barrier Resources System maps.","Sen. Dole, Elizabeth [R-NC]",09/25/2003,,,,0,"House - Resources | Senate - Environment and Public Works",10/18/2004,"Became Public Law No: 108-339."
"S. 1591",https://www.congress.gov/bill/108th-congress/senate-bill/1591,"108th Congress (2003-2004)",,"A bill to redesignate the facility of the United States Postal Service located at 48 South Broadway, Nyack, New York, as the ""Edward O'Grady, Waverly Brown, Peter Paige Post Office Building"".","Sen. Schumer, Charles E. [D-NY]",09/08/2003,,,,1,"House - Government Reform | Senate - Governmental Affairs",10/29/2003,"Became Public Law No: 108-103."
"S. 1590",https://www.congress.gov/bill/108th-congress/senate-bill/1590,"108th Congress (2003-2004)",,"A bill to redesignate the facility of the United States Postal Service, located at 315 Empire Boulevard in Crown Heights, Brooklyn, New York, as the ""James E. Davis Post Office Building"".","Sen. Schumer, Charles E. [D-NY]",09/08/2003,,,,1,"House - Government Reform | Senate - Governmental Affairs",12/01/2003,"Became Public Law No: 108-141."
"S. 1576",https://www.congress.gov/bill/108th-congress/senate-bill/1576,"108th Congress (2003-2004)",,"Harpers Ferry National Historical Park Boundary Revision Act of 2004","Sen. Byrd, Robert C. [D-WV]",09/03/2003,,,,1,"House - Resources | Senate - Energy and Natural Resources",09/24/2004,"Became Public Law No: 108-307."
"S. 1537",https://www.congress.gov/bill/108th-congress/senate-bill/1537,"108th Congress (2003-2004)",,"A bill to direct the Secretary of Agriculture to convey to the New Hope Cemetery Association certain land in the State of Arkansas for use as a cemetery.","Sen. Lincoln, Blanche L. [D-AR]",07/31/2003,,,,0,"House - Resources | Senate - Agriculture, Nutrition, and Forestry",10/18/2004,"Became Public Law No: 108-338."
"S. 1466",https://www.congress.gov/bill/108th-congress/senate-bill/1466,"108th Congress (2003-2004)",,"Alaska Land Transfer Acceleration Act of 2003","Sen. Murkowski, Lisa [R-AK]",07/25/2003,,,,1,"House - Resources | Senate - Energy and Natural Resources",12/10/2004,"Became Public Law No: 108-452."
"S. 1435",https://www.congress.gov/bill/108th-congress/senate-bill/1435,"108th Congress (2003-2004)",,"Prison Rape Elimination Act of 2003","Sen. Sessions, Jeff [R-AL]",07/21/2003,,,,4,,09/04/2003,"Became Public Law No: 108-79."
"S. 1421",https://www.congress.gov/bill/108th-congress/senate-bill/1421,"108th Congress (2003-2004)",,"Alaska Native Allotment Subdivision Act","Sen. Murkowski, Lisa [R-AK]",07/16/2003,,,,0,"House - Resources | Senate - Energy and Natural Resources",10/18/2004,"Became Public Law No: 108-337."
"S. 1399",https://www.congress.gov/bill/108th-congress/senate-bill/1399,"108th Congress (2003-2004)",,"A bill to redesignate the facility of the United States Postal Service located at 101 South Vine Street in Glenwood, Iowa, as the ""William J. Scherle Post Office Building"".","Sen. Harkin, Tom [D-IA]",07/14/2003,,,,1,"House - Government Reform | Senate - Governmental Affairs",07/29/2003,"Became Public Law No: 108-65."
"S. 1368",https://www.congress.gov/bill/108th-congress/senate-bill/1368,"108th Congress (2003-2004)",,"A bill to authorize the President to award a gold medal on behalf of the Congress to Reverend Doctor Martin Luther King , Jr. (posthumously) and his widow Coretta Scott King in recognition of their contributions to the Nation on behalf of the civil rights movement.","Sen. Levin, Carl [D-MI]",06/27/2003,,,,72,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs",10/25/2004,"Became Public Law No: 108-368."
"S. 1301",https://www.congress.gov/bill/108th-congress/senate-bill/1301,"108th Congress (2003-2004)",,"Video Voyeurism Prevention Act of 2004","Sen. DeWine, Mike [R-OH]",06/19/2003,,,,3,"House - Judiciary | Senate - Judiciary",12/23/2004,"Became Public Law No: 108-495."
"S. 1280",https://www.congress.gov/bill/108th-congress/senate-bill/1280,"108th Congress (2003-2004)",,"A bill to amend the Protect Act to clarify certain volunteer liability.","Sen. Hatch, Orrin G. [R-UT]",06/18/2003,,,,1,"House - Judiciary | Senate - Judiciary",08/01/2003,"Became Public Law No: 108-68."
"S. 1276",https://www.congress.gov/bill/108th-congress/senate-bill/1276,"108th Congress (2003-2004)",,"Strengthen AmeriCorps Program Act","Sen. Bond, Christopher S. [R-MO]",06/18/2003,,,,13,,07/03/2003,"Became Public Law No: 108-45."
