"Downloaded on",02/17/2020,"11:58:18 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 2734",https://www.congress.gov/bill/115th-congress/senate-bill/2734,"115th Congress (2017-2018)",,"A bill to designate the Federal building and United States courthouse located at 1300 Victoria Street in Laredo, Texas, as the ""George P. Kazen Federal Building and United States Courthouse"".","Sen. Cornyn, John [R-TX]",04/24/2018,,,,1,"House - Transportation and Infrastructure | Senate - Environment and Public Works",07/27/2018,"Became Public Law No: 115-221."
"S. 2692",https://www.congress.gov/bill/115th-congress/senate-bill/2692,"115th Congress (2017-2018)",,"A bill to designate the facility of the United States Postal Service located at 4558 Broadway in New York, New York, as the ""Stanley Michels Post Office Building"".","Sen. Gillibrand, Kirsten E. [D-NY]",04/18/2018,,,,1,"Senate - Homeland Security and Governmental Affairs",07/30/2018,"Became Public Law No: 115-223."
"S. 2679",https://www.congress.gov/bill/115th-congress/senate-bill/2679,"115th Congress (2017-2018)",,"Veterans Small Business Enhancement Act of 2018","Sen. Duckworth, Tammy [D-IL]",04/16/2018,,,,5,"Senate - Small Business and Entrepreneurship",01/03/2019,"Became Public Law No: 115-416."
"S. 2652",https://www.congress.gov/bill/115th-congress/senate-bill/2652,"115th Congress (2017-2018)",,"Stephen Michael Gleason Congressional Gold Medal Act","Sen. Cassidy, Bill [R-LA]",04/11/2018,,,,73,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs",01/03/2019,"Became Public Law No: 115-415."
"S. 2559",https://www.congress.gov/bill/115th-congress/senate-bill/2559,"115th Congress (2017-2018)",,"Marrakesh Treaty Implementation Act","Sen. Grassley, Chuck [R-IA]",03/15/2018,,,,13,"House - Judiciary | Senate - Judiciary",10/09/2018,"Became Public Law No: 115-261."
"S. 2554",https://www.congress.gov/bill/115th-congress/senate-bill/2554,"115th Congress (2017-2018)",,"Patient Right to Know Drug Prices Act","Sen. Collins, Susan M. [R-ME]",03/14/2018,,,,25,"Senate - Health, Education, Labor, and Pensions",10/10/2018,"Became Public Law No: 115-263."
"S. 2553",https://www.congress.gov/bill/115th-congress/senate-bill/2553,"115th Congress (2017-2018)",,"Know the Lowest Price Act of 2018","Sen. Stabenow, Debbie [D-MI]",03/14/2018,,,,15,"House - Energy and Commerce, Ways and Means | Senate - Finance",10/10/2018,"Became Public Law No: 115-262."
"S. 2511",https://www.congress.gov/bill/115th-congress/senate-bill/2511,"115th Congress (2017-2018)",,"CENOTE Act of 2018","Sen. Wicker, Roger F. [R-MS]",03/07/2018,,,,1,"House - Natural Resources, Science, Space, and Technology, Armed Services | Senate - Commerce, Science, and Transportation",12/21/2018,"Became Public Law No: 115-394."
"S. 2465",https://www.congress.gov/bill/115th-congress/senate-bill/2465,"115th Congress (2017-2018)",,"Sickle Cell Disease and Other Heritable Blood Disorders Research, Surveillance, Prevention, and Treatment Act of 2018","Sen. Scott, Tim [R-SC]",02/28/2018,,,,6,"Senate - Health, Education, Labor, and Pensions",12/18/2018,"Became Public Law No: 115-327."
"S. 2377",https://www.congress.gov/bill/115th-congress/senate-bill/2377,"115th Congress (2017-2018)",,"A bill to designate the Federal building and United States courthouse located at 200 West 2nd Street in Dayton, Ohio, as the ""Walter H. Rice Federal Building and United States Courthouse"".","Sen. Brown, Sherrod [D-OH]",02/06/2018,,,,1,"House - Transportation and Infrastructure | Senate - Environment and Public Works",12/13/2018,"Became Public Law No: 115-312."
